State,Abb,Name,Handle
West Virginia,WV,Jim Justice,WVGovernor
Alabama,AL,Kay Ivey,GovernorKayIvey
Alaska,AK,Mike Dunleavy,GovDunleavy
Arizona,AZ,Doug Ducey,dougducey
Arkansas,AR,Asa Hutchinson,AsaHutchinson
California,CA,Gavin Newsom,GavinNewsom
Colorado,CO,Jared Polis,GovofCO
Connecticut,CT,Ned Lamont,GovNedLamont
Delaware,DE,John Carney,JohnCarneyDE
Florida,FL,Ron DeSantis,GovRonDeSantis
Georgia,GA,Brian Kemp,BrianKempGA
Hawaii,HI,David Ige,GovHawaii
Idaho,ID,Brad Little,GovernorLittle
Illinois,IL,JB Pritzker,GovPritzker
Indiana,IN,Eric Holcomb,GovHolcomb
Iowa,IA,Kim Reynolds,IAGovernor
Kansas,KS,Laura Kelly,GovLauraKelly
Kentucky,KY,Andy Beshear,GovAndyBeshear
Louisiana,LA,Bel Edwards,LouisianaGov
Maine,ME,Janet Mills,GovJanetMills
Maryland,MD,Larry Hogan,GovLarryHogan
Massachusetts,MA,Charlie Baker,MassGovernor
Michigan,MI,Gretchen Whitmer,GovWhitmer
Minnesota,MN,Tim Walz,GovTimWalz
Mississippi,MS,Tate Reeves,tatereeves
Missouri,MO,Mike Parson,GovParsonMO
Montana,MT,Steve Bullock,GovernorBullock
Nebraska,NE,Pete Ricketts,GovRicketts
Nevada,NV,Steve Sisolak,GovSisolak
New Hampshire,NH,Chris Sununu,GovChrisSununu
New Jersey,NJ,PhilMurphy,GovMurphy
New Mexico,NM,Michelle Lujan Grisham,GovMLG
New York,NY,Andrew Cuomo,NYGovCuomo
North Carolina,NC,Roy Cooper,NC_Governor
North Dakota,ND,Doug Burgum,DougBurgum
Ohio,OH,Mike DeWine,GovMikeDeWine
Oklahoma,OK,Kevin Stitt,GovStitt
Oregon,OR,Kate Brown,OregonGovBrown
Pennsylvania,PA,Tom Wolf,GovernorTomWolf
Puerto Rico,PR,Wanda Vazquez,wandavazquezg
Rhode Island,RI,Gina Raimondo,GovRaimondo
South Carolina,SC,Henry McMaster,South Carolina
South Dakota,SD,Kristi Noem,Govkristinoem
Tennessee,TN,Bill Lee,GovBillLee
Texas,TX,Greg Abbot,GregAbbott_TX
Utah,UT,Gary Herbert,GovHerbert
Vermont,VT,Phil Scott,GovPhilScott
Virginia,VA,Ralph Northam,GovernorVA
Washington,WA,Jay Inslee,GovInslee
Wisconsin,WI,Tony Evers,GovEvers
Wyoming,WY,Mark Gordon,GovernorGordon
